Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts
2024-2025,Real Madrid,1. Champions Lg,,5,2,0,3,9,9,0,6
2023-2024,Real Madrid,1. Champions Lg,W,13,9,4,0,28,15,13,31
2022-2023,Real Madrid,1. Champions Lg,SF,12,8,2,2,26,13,13,26
2021-2022,Real Madrid,1. Champions Lg,W,13,9,0,4,29,14,15,27
2020-2021,Real Madrid,1. Champions Lg,SF,12,6,3,3,19,14,5,21
2019-2020,Real Madrid,1. Champions Lg,R16,8,3,2,3,16,12,4,11
2018-2019,Real Madrid,1. Champions Lg,R16,8,5,0,3,15,10,5,15
2017-2018,Real Madrid,1. Champions Lg,W,13,9,2,2,33,16,17,29
2016-2017,Real Madrid,1. Champions Lg,W,13,9,3,1,35,18,17,30
2015-2016,Real Madrid,1. Champions Lg,W,13,9,3,1,28,6,22,30
2014-2015,Real Madrid,1. Champions Lg,SF,12,8,2,2,24,9,15,26
2013-2014,Real Madrid,1. Champions Lg,W,13,10,2,1,41,10,31,32
2012-2013,Real Madrid,1. Champions Lg,SF,12,5,4,3,26,18,8,19
2011-2012,Real Madrid,1. Champions Lg,SF,12,7,4,1,35,9,26,25
2010-2011,Real Madrid,1. Champions Lg,SF,12,7,4,1,25,6,19,25
2009-2010,Real Madrid,1. Champions Lg,R16,8,4,2,2,16,9,7,14
2008-2009,Real Madrid,1. Champions Lg,R16,8,4,0,4,9,10,-1,12
2007-2008,Real Madrid,1. Champions Lg,R16,8,3,2,3,15,13,2,11
2006-2007,Real Madrid,1. Champions Lg,R16,8,4,2,2,18,12,6,14
2005-2006,Real Madrid,1. Champions Lg,R16,8,3,2,3,10,9,1,11
2004-2005,Real Madrid,1. Champions Lg,R16,10,6,2,2,17,11,6,20
2003-2004,Real Madrid,1. Champions Lg,QF,10,6,3,1,18,11,7,21
2002-2003,Real Madrid,1. Champions Lg,SF,16,7,5,4,33,22,11,26
2001-2002,Real Madrid,1. Champions Lg,W,17,12,4,2,35,14,21,40
2000-2001,Real Madrid,1. Champions Lg,SF,16,9,2,5,35,23,12,29
